Date,Description,Debit,Credit
2026-01-01,SALARY CREDIT ACME CORP,,85000
2026-01-03,SWIGGY ORDER,320,
2026-01-05,NETFLIX UPI AUTOPAY,649,
2026-01-08,SPOTIFY INDIA,119,
2026-01-12,DISNEY HOTSTAR SUBSCRIPTION,299,
2026-01-15,GAANA PLUS,99,
2026-01-18,GOOGLE ONE STORAGE,130,
2026-01-19,SWIGGY ORDER,540,
2026-01-20,ADOBE CREATIVE CLOUD,1675,
2026-01-22,CULTFIT MEMBERSHIP,1000,
2026-02-02,SWIGGY ORDER,210,
2026-02-05,NETFLIX UPI AUTOPAY,649,
2026-02-08,SPOTIFY INDIA,119,
2026-02-12,DISNEY HOTSTAR SUBSCRIPTION,299,
2026-02-15,GAANA PLUS,99,
2026-02-18,GOOGLE ONE STORAGE,130,
2026-02-20,ADOBE CREATIVE CLOUD,1675,
2026-02-22,CULTFIT MEMBERSHIP,1000,
2026-02-25,ATM WITHDRAWAL,5000,
2026-03-05,NETFLIX UPI AUTOPAY,649,
2026-03-08,SPOTIFY INDIA,119,
2026-03-11,SWIGGY ORDER,615,
2026-03-12,DISNEY HOTSTAR SUBSCRIPTION,299,
2026-03-15,AMAZON SHOPPING,2499,
2026-03-15,GAANA PLUS,99,
2026-03-18,GOOGLE ONE STORAGE,130,
2026-03-20,ADOBE CREATIVE CLOUD,1675,
2026-03-22,CULTFIT MEMBERSHIP,1000,
2026-04-05,NETFLIX UPI AUTOPAY,699,
2026-04-08,SPOTIFY INDIA,119,
2026-04-12,DISNEY HOTSTAR SUBSCRIPTION,299,
2026-04-15,GAANA PLUS,99,
2026-04-18,GOOGLE ONE STORAGE,130,
2026-04-20,ADOBE CREATIVE CLOUD,1675,
2026-04-22,CULTFIT MEMBERSHIP,1000,
